date,description,amount,type
2025-10-10,IKEA - OFFICE FURNITURE,450.00,expense
2025-10-12,AWS CLOUD SERVICES,152.80,expense
2025-10-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2025-10-15,PAYROLL - STAFF WAGES,4200.00,expense
2025-10-16,LINKEDIN ADS CAMPAIGN,180.00,expense
2025-10-17,BP FUEL STATION,115.70,expense
2025-10-18,TELSTRA MOBILE PLAN,89.00,expense
2025-10-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2025-10-22,TRANSFER FROM SARAH JONES,850.00,income
2025-10-24,QANTAS FLIGHT - MELBOURNE TRIP,389.00,expense
2025-10-25,HILTON HOTEL - MELBOURNE,220.00,expense
2025-10-27,ELECTRICITY BILL - AGL ENERGY,298.00,expense
2025-10-28,CALTEX PETROL,108.90,expense
2025-10-30,SLACK SUBSCRIPTION,12.50,expense
2025-11-01,TRANSFER FROM ABC CORP - INVOICE 1004,4500.00,income
2025-11-02,SHELL PETROL STATION,125.40,expense
2025-11-04,CANVA PRO SUBSCRIPTION,17.99,expense
2025-11-05,OFFICE RENT PAYMENT - NOVEMBER,2000.00,expense
2025-11-07,TRANSFER FROM MIKE WILSON SERVICES,2100.00,income
2025-11-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,54.99,expense
2025-11-10,TOTAL TOOLS - EQUIPMENT,567.00,expense
2025-11-12,AWS CLOUD SERVICES,168.30,expense
2025-11-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2025-11-15,PAYROLL - STAFF WAGES,4200.00,expense
2025-11-16,GOOGLE ADS CAMPAIGN,320.00,expense
2025-11-17,BP FUEL STATION,132.50,expense
2025-11-18,TELSTRA MOBILE PLAN,89.00,expense
2025-11-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2025-11-21,UBER - CLIENT TRANSPORT,35.60,expense
2025-11-23,TRANSFER FROM ACME INC,1800.00,income
2025-11-25,WATER BILL - SYDNEY WATER,87.00,expense
2025-11-27,SEMRUSH SEO TOOLS,119.95,expense
2025-11-28,CALTEX PETROL,118.20,expense
2025-11-30,SLACK SUBSCRIPTION,12.50,expense
2025-12-01,TRANSFER FROM ABC CORP - INVOICE 1005,4500.00,income
2025-12-02,SHELL PETROL STATION,142.80,expense
2025-12-03,XERO ACCOUNTING SOFTWARE,50.00,expense
2025-12-05,OFFICE RENT PAYMENT - DECEMBER,2000.00,expense
2025-12-07,TRANSFER FROM JOHN SMITH CONSULTING,1200.00,income
2025-12-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,54.99,expense
2025-12-10,CHRISTMAS PARTY - TEAM LUNCH,380.00,expense
2025-12-12,AWS CLOUD SERVICES,175.60,expense
2025-12-14,TRANSFER FROM XYZ PTY LTD,3500.00,income
2025-12-15,PAYROLL - STAFF WAGES,4200.00,expense
2025-12-15,PAYROLL - CHRISTMAS BONUS,1000.00,expense
2025-12-17,BP FUEL STATION,98.30,expense
2025-12-18,TELSTRA MOBILE PLAN,89.00,expense
2025-12-19,FACEBOOK ADS - HOLIDAY CAMPAIGN,450.00,expense
2025-12-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2025-12-22,TRANSFER FROM SARAH JONES,850.00,income
2025-12-24,VIRGIN FLIGHT - BRISBANE TRIP,285.00,expense
2025-12-27,ELECTRICITY BILL - AGL ENERGY,412.00,expense
2025-12-28,CALTEX PETROL,88.60,expense
2025-12-30,SLACK SUBSCRIPTION,12.50,expense
2026-01-02,TRANSFER FROM ABC CORP - INVOICE 1006,4500.00,income
2026-01-03,SHELL PETROL STATION,156.90,expense
2026-01-05,OFFICE RENT PAYMENT - JANUARY,2200.00,expense
2026-01-07,TRANSFER FROM NEW CLIENT - DELTA CORP,2800.00,income
2026-01-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,59.99,expense
2026-01-10,BUNNINGS WAREHOUSE - SUPPLIES,189.00,expense
2026-01-12,AWS CLOUD SERVICES,182.40,expense
2026-01-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2026-01-15,PAYROLL - STAFF WAGES,4400.00,expense
2026-01-17,BP FUEL STATION,145.20,expense
2026-01-18,TELSTRA MOBILE PLAN,95.00,expense
2026-01-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2026-01-22,LINKEDIN PREMIUM,59.99,expense
2026-01-24,TRANSFER FROM MIKE WILSON SERVICES,2100.00,income
2026-01-25,NOTION SUBSCRIPTION,10.00,expense
2026-01-27,GAS BILL - ORIGIN ENERGY,178.00,expense
2026-01-28,CALTEX PETROL,162.40,expense
2026-01-30,SLACK SUBSCRIPTION,12.50,expense
2026-02-01,TRANSFER FROM ABC CORP - INVOICE 1007,4500.00,income
2026-02-03,SHELL PETROL STATION,168.30,expense
2026-02-05,OFFICE RENT PAYMENT - FEBRUARY,2200.00,expense
2026-02-07,TRANSFER FROM JOHN SMITH CONSULTING,1200.00,income
2026-02-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,59.99,expense
2026-02-10,KMART - OFFICE SUPPLIES,78.50,expense
2026-02-12,AWS CLOUD SERVICES,195.70,expense
2026-02-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2026-02-15,PAYROLL - STAFF WAGES,4400.00,expense
2026-02-17,BP FUEL STATION,158.90,expense
2026-02-18,TELSTRA MOBILE PLAN,95.00,expense
2026-02-19,GOOGLE ADS CAMPAIGN,380.00,expense
2026-02-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2026-02-22,TRANSFER FROM ACME INC,2000.00,income
2026-02-24,JETSTAR FLIGHT - PERTH TRIP,320.00,expense
2026-02-25,MARRIOTT HOTEL - PERTH,280.00,expense
